127930,Abdelkader Wahabi,M,28,168,66,Belgium,BEL,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Light-Welterweight,NA
81694,Adrian David Moorhouse,M,20,187,87,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
13986,Alain Bouffard,M,20,165,52,France,FRA,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Eights,NA
20122,Abdel Kader Chkhmani,M,25,180,70,France,FRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 1500 metres,NA
51489,Adrian Ianculescu,M,22,NA,NA,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Horizontal Bar,NA
69716,Alf Lie,M,25,NA,NA,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Gymnastics,Gymnastics Men's Team All-Around Free System,Gold
2795,Ahmed Issam Allam,M,28,NA,NA,United Arab Republic,UAR,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Horizontal Bar,NA
52583,Ahmed Mohamed Ismail,M,20,180,66,Somalia,SOM,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,NA
10989,Ambrogio Bessi,M,21,176,NA,Italy,ITA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,NA
16846,Alberto Busnari,M,25,172,70,Italy,ITA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,NA
118602,Aleksandra Yevgenyevna Tarasova,F,28,170,64,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,NA
99078,Aleksey Petrovich Rastvortsev,M,26,200,119,Russia,RUS,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,Bronze
51531,Abil Ibragimov,M,19,160,58,Kazakhstan,KAZ,2000 Summer,2000,Summer,Sydney,Wrestling,Wrestling Men's Featherweight Freestyle,NA
63007,an Koir,M,29,184,77,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Parallel Slalom,Silver
8886,Ajanew Bayene,M,20,NA,NA,Ethiopia,ETH,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 400 metres,NA
14979,Adrian Stephen Breton,M,25,170,73,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Shooting,Shooting Men's Rapid-Fire Pistol 25 metres,NA
105106,Alvaro Alejandro de San Martin Sanabria Mora,M,21,167,57,Costa Rica,CRC,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Lightweight,NA
80890,Ali Heidar Ali Mohamed,M,NA,170,60,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Extra-Lightweight,NA
61249,Anatoly Viktorovich Klimenko,M,37,173,68,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Small-Bore Rifle Three Positions 50 metres,NA
90816,Adiel Palma Lpez,M,33,190,77,Cuba,CUB,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Gold
105493,Aleksandr Yuryevich Sannikov,M,26,171,68,Belarus,BLR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,NA
57043,Ahmed Ibrahim Kamel,M,NA,NA,NA,Egypt,EGY,1936 Summer,1936,Summer,Berlin,Diving,Diving Men's Springboard,NA
97548,Alexander Noel Punton,M,24,NA,NA,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,NA
31471,Alan Edwards,M,24,196,86,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Canoeing,Canoeing Men's Kayak Fours 1000 metres,NA
13602,Aleksey Alekseyevich Borovitin,M,25,173,73,Soviet Union,URS,1980 Winter,1980,Winter,Lake Placid,Ski Jumping,Ski Jumping Men's Large Hill Individual,NA
96325,Alain Portes,M,30,177,74,France,FRA,1992 Summer,1992,Summer,Barcelona,Handball,Handball Men's Handball,Bronze
65378,Afanasijs Kuzmins,M,45,178,89,Latvia,LAT,1992 Summer,1992,Summer,Barcelona,Shooting,Shooting Men's Rapid-Fire Pistol 25 metres,Silver
132888,Aleksandr Borisovich Yermilov,M,21,200,90,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Silver
2361,Alan Jacob Alborn,M,17,178,61,United States,USA,1998 Winter,1998,Winter,Nagano,Ski Jumping,Ski Jumping Men's Large Hill Individual,NA
52085,Amit Inbar,M,19,183,77,Israel,ISR,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Men's Windsurfer,NA
113501,Ana Luiza Ferro Souza Lima Vieira de Mello ,F,38,170,60,Brazil,BRA,2012 Summer,2012,Summer,London,Shooting,Shooting Women's Air Pistol 10 metres,NA
86589,Adilbek Sabitovich Niyazymbetov,M,27,180,81,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Heavyweight,Silver
118960,Abderrahim Tazi,M,NA,172,70.5,Morocco,MAR,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Middleweight,NA
3424,Alejandro Amezcua Carried,M,23,168,68,Mexico,MEX,1972 Summer,1972,Summer,Munich,Canoeing,Canoeing Men's Kayak Fours 1000 metres,NA
106895,Alfred Schindler,M,22,180,80,Switzerland,SUI,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA
58764,Alajos Ferenc Kenyery (-Kronborg),M,19,NA,NA,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
116079,Abraham Surez,M,20,182,72,Ecuador,ECU,1988 Summer,1988,Summer,Seoul,Diving,Diving Men's Springboard,NA
36128,Alfredo Foni,M,25,172,71,Italy,ITA,1936 Summer,1936,Summer,Berlin,Football,Football Men's Football,Gold
25258,Aleksandr Danilov,M,34,180,94,Israel,ISR,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Free Pistol 50 metres,NA
63933,Adam Kreek,M,27,193,91,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
118971,Alexander Tchigir,M,23,191,82,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Water Polo,Water Polo Men's Water Polo,Bronze
7066,Anders Bakken,M,24,180,70,Norway,NOR,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,NA
109585,Alison Sheppard,F,19,176,65,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 50 metres Freestyle,NA
99680,Alena Reichov (-Zmostn),F,18,NA,NA,Czechoslovakia,TCH,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Women's Individual All-Around,NA
49481,Adrian Frederick Holmes,M,23,NA,NA,Australia,AUS,1948 Summer,1948,Summer,London,Boxing,Boxing Men's Light-Heavyweight,NA
51162,A. Hurtado Vargas,M,NA,NA,NA,Chile,CHI,1948 Summer,1948,Summer,London,Water Polo,Water Polo Men's Water Polo,NA
19396,Alena ernkov,F,14,152,43,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Balance Beam,NA
119590,Alexandros Theofilakis,M,NA,NA,NA,Greece,GRE,1920 Summer,1920,Summer,Antwerpen,Shooting,Shooting Men's Military Rifle Prone 300 metres Team,NA
46529,Albert Hassler,M,20,NA,NA,France,FRA,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
99601,Abdesselem Regragui,M,NA,169,70,Morocco,MAR,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Individual All-Around,NA
64788,Anatoliy Yakovych Kuksov,M,22,174,70,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Bronze
